Date,dal,fb,goog,mo,vedl
2016-02-01,8.54295811989867,-4.829123337246877,-6.273920057480087,0.7499176722935097,-4.1866512424531654
2016-03-01,1.2246319710141673,6.4994369349604675,6.542755486168161,1.75484835901214,26.728529930883504
2016-04-01,-15.548697458109872,3.0043725052092185,-7.227267522789571,0.9806519008194403,13.262192774630366
2016-05-01,4.205975350948199,1.0406589374417408,5.980512855008069,1.4721188724081902,-0.7993565429725624
2016-06-01,-17.32319998197296,-3.887399124048141,-6.111915316943239,8.028447680673878,23.36817862743259
2016-07-01,6.173826221527445,8.114603055136627,10.508740313410048,-0.9859939693101616,21.112756669806167
2016-08-01,-5.299276466071623,1.7436259222137096,-0.2265849330052916,-2.406887992088169,2.8399461104889667
2016-09-01,7.409133711301985,1.6903594165710523,1.3261510462935888,-4.423860069338215,3.6331814900466775
2016-10-01,5.942816089006664,2.098357572520815,0.9284047917106797,5.416991817063632,15.097737191540839
2016-11-01,14.276564803216862,-10.08834147040556,-3.436140504410279,-3.368256014364235,10.536031540695179
2016-12-01,2.5348585359818987,-2.8870768634386756,1.8015245993928453,5.611515482910789,-6.790104190665769
2017-01-01,-4.044933937612294,12.46261774887234,3.183975670796624,6.035097244770782,17.531908693085008
2017-02-01,5.538096224889166,3.9273729678163782,3.2620230439361464,5.120912750713913,3.779031153751866
2017-03-01,-7.88786953599292,4.691237961013162,0.7684077948439061,-4.784302165486665,11.074612702680087
2017-04-01,-1.1378433911520602,5.612144363143212,8.809974240924934,1.3039218527788776,-12.186821704055228
2017-05-01,7.807700394022099,0.8021034598017174,6.298781870064829,4.973162779029927,4.200186720378918
2017-06-01,9.379640909071307,-0.317425860004672,-5.9934999052516424,-1.2941374454201515,4.615197015864236
2017-07-01,-8.501723030518171,11.422956237909698,2.3674077222763934,-12.834745770240819,12.576941746314318
2017-08-01,-4.495853544500195,1.5943138302072946,0.9444797279527073,-2.446186625970892,10.763051356277131
2017-09-01,2.8029686840921553,-0.6417045210459271,2.0838882486224897,0.03154514090510929,-1.232038003336644
2017-10-01,3.684890706189803,5.2387110237484436,5.825260964177126,2.3149769101699746,6.208198833121603
2017-11-01,5.615840691465257,-1.6123991475325283,0.46809128668927613,5.468994788000714,-12.277119828516359
2017-12-01,6.277251712271958,-0.40718638046692845,2.417172567769388,5.143350376751066,13.387437332587604
2018-01-01,1.3656354097469237,5.742594537489065,11.159669030843755,-0.6126413988612356,2.793076697842878
2018-02-01,-5.187758621001359,-4.694047506530907,-5.735147181889388,-11.099976634689401,-5.963315859349105
2018-03-01,2.249613215441304,-10.971931901659016,-6.83057477021487,-1.0058372477607769,-13.84990179742287
2018-04-01,-4.840706332492362,7.363406567897357,-1.411363083219186,-9.432672783015628,7.844243685272234
2018-05-01,3.4443898189876254,10.885439854695989,6.43891963519474,-0.6616143391851015,-18.68464228502149
2018-06-01,-8.120298214160515,1.3157447025037072,2.786645522220965,1.866229887684412,-7.777765037846107
2018-07-01,9.39512670028071,-11.86454146953988,8.716522272718752,4.500232938662574,-5.2067619344736915
2018-08-01,7.874854364056816,1.808779420405937,0.07636631459995158,-0.2730391450700864,-1.0120789452376933
2018-09-01,-1.1177095516040403,-6.628128152765278,-2.050109667580724,3.012940663774355,0.15637773832040125
2018-10-01,-5.5095757064938855,-8.016947795897877,-10.289916844695401,8.819703927652522,-13.89028693474943
2018-11-01,10.36964708494108,-7.650783746401313,1.6267891535706624,-17.07649312472479,0.08972014495731706
2018-12-01,-18.98233575856869,-7.010602266958887,-5.5243117925959595,-10.448961541796065,11.447080214170047
2019-01-01,-0.9463481282709019,24.025173232750685,7.5091734914471076,1.5620736054316797,-3.2587643886338835
2019-02-01,0.30300592102343593,-3.1940336299284944,0.31749475678388706,6.015963015963299,-15.146849905753035
2019-03-01,4.786708798862449,3.1940336299284944,4.657157089524944,9.146941374806783,9.531018893155219
2019-04-01,12.09403823556685,14.862473685878363,1.2846298988971938,-4.1338216539729356,-8.88874200527412
2019-05-01,-12.384880783586949,-8.595896403533043,-7.407041213026755,-10.203250386689655,-3.4045910073437824
